obl_deg	time_y
35.2942001800587	-3499000
35.1796086210325	-3500000
35.0077212824933	-3501000
34.8358339439541	-3502000
34.6639466054148	-3503000
34.4920592668756	-3504000
34.2628761488232	-3505000
34.0336930307709	-3506000
33.7472141332055	-3507000
33.5180310151532	-3508000
33.2315521175877	-3509000
32.9450732200223	-3510000
32.6012985429438	-3511000
32.2575238658653	-3512000
31.9137491887869	-3513000
31.5699745117084	-3514000
31.2261998346299	-3515000
30.8251293780383	-3516000
30.4240589214467	-3517000
30.0229884648551	-3518000
29.6219180082636	-3519000
29.220847551672	-3520000
28.7624813155673	-3521000
28.3614108589757	-3522000
27.9030446228711	-3523000
27.5019741662795	-3524000
27.0436079301749	-3525000
26.5852416940702	-3526000
26.1841712374786	-3527000
25.725805001374	-3528000
25.2674387652693	-3529000
24.8663683086777	-3530000
24.4080020725731	-3531000
24.0069316159815	-3532000
23.5485653798768	-3533000
23.1474949232853	-3534000
22.8037202462068	-3535000
22.4026497896152	-3536000
22.0588751125367	-3537000
21.7151004354582	-3538000
21.4286215378928	-3539000
21.1421426403274	-3540000
20.855663742762	-3541000
20.6264806247096	-3542000
20.4545932861704	-3543000
20.2827059476311	-3544000
20.1108186090919	-3545000
19.9962270500657	-3546000
19.9389312705526	-3547000
19.8816354910396	-3548000
19.8816354910396	-3549000
19.8816354910396	-3550000
19.9389312705526	-3551000
19.9962270500657	-3552000
20.1108186090919	-3553000
20.2827059476311	-3554000
20.4545932861704	-3555000
20.6264806247096	-3556000
20.855663742762	-3557000
21.0848468608143	-3558000
21.3713257583797	-3559000
21.6578046559451	-3560000
21.9442835535105	-3561000
22.288058230589	-3562000
22.5745371281544	-3563000
22.9183118052329	-3564000
23.3193822618245	-3565000
23.663156938903	-3566000
24.0642273954946	-3567000
24.4080020725731	-3568000
24.8090725291646	-3569000
25.2101429857562	-3570000
25.5539176628347	-3571000
25.9549881194263	-3572000
26.3560585760179	-3573000
26.7571290326094	-3574000
27.1009037096879	-3575000
27.5019741662795	-3576000
27.845748843358	-3577000
28.2468192999496	-3578000
28.5905939770281	-3579000
28.9343686541066	-3580000
29.2781433311851	-3581000
29.6219180082636	-3582000
29.908396905829	-3583000
30.2521715829075	-3584000
30.5386504804729	-3585000
